Aircraft,Equivalent
100,100
141,141
142,142
143,143
146,146
14F,14F
310,310
312,312
313,313
318,318
319,319
31F,31F
31X,310
31Y,31Y
320,320
321,321
32A,32A
32B,321
32S,32S
330,330
332,332
333,333
33F,33F
33X,33X
340,340
342,342
343,343
345,345
346,346
350,788
359,788
380,380
388,388
703,703
707,707
70F,70F
70M,70M
717,717
721,721
722,722
727,727
72A,72A
72B,721
72F,72F
72M,72M
72S,72S
731,731
732,732
733,733
734,734
735,735
736,736
737,737
738,738
739,739
73A,73A
73C,73C
73E,73E
73F,73F
73G,73G
73H,73H
73J,73J
73L,73L
73M,73M
73N,73N
73P,73P
73Q,73Q
73R,73R
73S,73S
73W,73W
73X,73X
73Y,73Y
741,741
742,742
743,743
744,744
747,747
74C,74C
74D,74D
74E,74E
74F,74F
74H,74H
74J,74J
74L,74L
74M,74M
74N,74N
74R,74R
74T,74T
74U,743
74X,74X
74Y,74Y
752,752
753,753
757,757
75F,75F
75M,75M
75T,75T
75W,75W
762,762
763,763
764,764
767,767
76F,76F
76W,76W
76X,76X
76Y,76Y
772,772
773,773
777,777
77F,77F
77L,77L
77W,77W
77X,77X
787,788
788,788
789,788
A22,A22
A26,SF3
A28,A28
A30,A30
A32,F50
A38,A38
A40,A40
A4F,A4F
A58,F28
A5F,A5F
A81,A81
AB3,AB3
AB4,AB4
AB6,AB6
ABB,ABB
ABF,ABF
ABX,ABX
ABY,ABY
ACD,ACD
ACP,ACP
ACT,ACT
AGH,AGH
AN2,AN2
AN4,AN4
AN6,AN6
AN7,AN7
ANF,ANF
APH,APH
AR1,AR1
AR7,AR7
AR8,AR8
ARJ,ARJ
AT3,AT3
AT4,AT4
AT5,AT5
AT7,AT7
ATF,ATF
ATP,ATP
ATR,ATR
B11,B11
B12,B12
B13,B13
B14,B14
B15,B15
B72,B72
BE1,BE1
BE2,BE2
BE4,NDC
BE9,BE9
BEC,BEC
BEH,BEH
BEP,BEP
BES,BES
BET,BET
BH2,BH2
BNT,BNT
BNi,BNi
CCJ,CCJ
CD2,CD2
CL4,CL4
CN1,CN1
CN2,MU2
CNA,CNA
CNC,CNC
CNF,CNF
CNJ,CNJ
CNT,CNT
CR1,CR1
CR2,CR2
CR7,CR7
CR9,CR9
CRA,CRA
CRF,CRF
CRJ,CRJ
CRK,CRK
CRV,CRV
CRX,CRX
CS2,CS2
CS5,CS5
CV2,CV2
CV3,CV3
CV4,CV4
CV5,CV5
CV6,CV6
CV8,CV8
CV9,CV9
CVF,CVF
CVR,CVR
CWC,CWC
D10,D10
D11,D11
D14,D14
D1C,D1C
D1F,D1F
D1Y,D1Y
D28,D28
D38,D38
D3F,D3F
D6F,D6F
D81,D81
D82,D82
D83,D83
D84,D84
D85,D85
D86,D86
D87,D87
D8F,D8F
D8T,D8T
D8X,D8X
D8Y,D8Y
D91,D91
D92,D92
D93,D93
D94,D94
D95,D95
D9F,D9F
D9S,D9S
DC3,DC3
DC4,DC4
DC6,DC6
DC7,DC7
DC8,DC8
DC9,DC9
DF2,DF2
DF3,DF3
DFL,DFL
DH1,DH1
DH2,DH2
DH3,DH3
DH4,DH4
DH7,DH7
DH8,DH8
DHB,DHB
DHC,DHC
DHD,DHD
DHL,DHL
DHO,DHO
DHP,DHP
DHR,DHR
DHS,DHS
DHT,DHT
DV5,DV5
E2F,E2F
E70,E70
E75,E75
E7W,E75
E90,E90
E95,E95
EC3,S76
EM1,EM1
EM2,EM2
EMB,EMB
EMJ,EMJ
EP1,NDC
ER3,ER3
ER4,ER4
ERD,ERD
ERJ,ERJ
F21,F21
F22,F22
F23,F23
F24,F24
F27,F27
F28,F28
F50,F50
F70,F70
FK7,FK7
FRJ,FRJ
GRG,GRG
GRJ,GRJ
GRM,GRM
GRS,GRS
H25,H25
HEC,HEC
HS7,HS7
I14,I14
IL6,IL6
IL7,IL7
IL8,IL8
IL9,IL9
ILW,ILW
J31,J31
J32,J32
J41,J41
JST,JST
L10,L10
L11,L11
L12,L12
L15,L15
L1F,L1F
L49,L49
L4T,L4T
LOE,LOE
LOF,LOF
LOH,LOH
LOM,LOM
LRJ,LRJ
M11,M11
M1F,M1F
M1M,M1M
M80,M80
M81,M81
M82,M82
M83,M83
M87,M87
M88,M88
M90,M90
M95,M95
MA6,MA6
MBH,MBH
MD9,MD9
MIH,MIH
MU2,MU2
ND2,ND2
NDC,NDC
NDE,NDE
NDH,NDH
PA1,PA1
PA2,PA2
PAG,PAG
PAT,PAT
PL2,PL2
PL6,PL6
PN6,PN6
S20,S20
S58,S58
S61,S61
S76,S76
SF3,SF3
SFB,SFB
SFF,SFF
SH3,SH3
SH6,SH6
SHB,SHB
SHS,SHS
SSC,SSC
SU9,SU9
SWM,SWM
T20,T20
T2F,T2F
TU3,TU3
TU5,TU5
VCV,VCV
WWP,WWP
YK2,YK2
YK4,YK4
YN2,YN2
YN7,YN7
YS1,YS1
