Airport,City
AAA,AAA
AAE,AAE
AAL,AAL
AAN,AAN
AAQ,AAQ
AAR,AAR
AAT,AAT
AAX,AAX
ABA,ABA
ABB,ABB
ABD,ABD
ABE,ABE
ABI,ABI
ABJ,ABJ
ABL,ABL
ABQ,ABQ
ABR,ABR
ABS,ABS
ABT,ABT
ABU,ABU
ABV,ABV
ABX,ABX
ABY,ABY
ABZ,ABZ
ACA,ACA
ACC,ACC
ACE,ACE
ACH,ACH
ACK,ACK
ACR,ACR
ACT,ACT
ACV,ACV
ACX,ACX
ACY,AIY
ACZ,ACZ
ADA,ADA
ADB,IZM
ADD,ADD
ADE,ADE
ADF,ADF
ADH,ADH
ADJ,AMM
ADK,ADK
ADL,ADL
ADQ,ADQ
ADU,ADU
ADV,ADV
ADZ,ADZ
AEB,AEB
AEP,BUE
AER,AER
AES,AES
AET,AET
AEY,AEY
AFA,AFA
AFL,AFL
AFZ,AFZ
AGA,AGA
AGB,MUC
AGF,AGF
AGH,AGH
AGP,AGP
AGR,AGR
AGS,AGS
AGT,AGT
AGU,AGU
AGX,AGX
AHB,AHB
AHE,AHE
AHO,AHO
AHU,AHU
AIA,AIA
AIN,AIN
AIT,AIT
AIU,AIU
AJA,AJA
AJF,AJF
AJI,AJI
AJK,AJK
AJL,AJL
AJN,AJN
AJR,AJR
AJU,AJU
AJY,AJY
AKF,AKF
AKJ,AKJ
AKL,AKL
AKN,AKN
AKP,AKP
AKU,AKU
AKV,AKV
AKX,AKX
AKY,AKY
ALA,ALA
ALB,ALB
ALC,ALC
ALF,ALF
ALG,ALG
ALH,ALH
ALO,ALO
ALS,ALS
ALW,ALW
AMA,AMA
AMD,AMD
AMH,AMH
AMM,AMM
AMQ,AMQ
AMS,AMS
AMV,AMV
ANC,ANC
ANE,ANE
ANF,ANF
ANI,ANI
ANM,ANM
ANR,ANR
ANS,ANS
ANU,ANU
ANV,ANV
ANX,ANX
AOE,ESK
AOG,AOG
AOI,AOI
AOJ,AOJ
AOK,AOK
AOR,AOR
AOU,AOU
APC,APC
APK,APK
APL,APL
APN,APN
APO,APO
APW,APW
AQG,AQG
AQI,AQI
AQJ,AQJ
AQP,AQP
ARA,ARA
ARC,ARC
ARD,ARD
ARH,ARH
ARI,ARI
ARK,ARK
ARM,ARM
ARN,STO
ART,ART
ARU,ARU
ARW,ARW
ASB,ASB
ASE,ASE
ASF,ASF
ASJ,ASJ
ASM,ASM
ASO,ASO
ASP,ASP
ASR,ASR
ASU,ASU
ASV,ASV
ASW,ASW
ATA,ATA
ATC,ATC
ATH,ATH
ATK,ATK
ATL,ATL
ATM,ATM
ATQ,ATQ
ATW,ATW
ATY,ATY
ATZ,ATZ
AUA,AUA
AUC,AUC
AUH,AUH
AUQ,AUQ
AUR,AUR
AUS,AUS
AUX,AUX
AUY,AUY
AVA,AVA
AVL,AVL
AVN,AVN
AVP,AVP
AVV,AVV
AWD,AWD
AWZ,AWZ
AXA,AXA
AXD,AXD
AXF,AXF
AXM,AXM
AXP,AXP
AXR,AXR
AXT,AXT
AXU,AXU
AYP,AYP
AYQ,AYQ
AYT,AYT
AZD,AZD
AZN,AZN
AZO,AZO
AZR,AZR
AZS,AZS
BAH,BAH
BAL,BAL
BAQ,BAQ
BAS,BAS
BAV,BAV
BAX,BAX
BAY,BAY
BBA,BBA
BBI,BBI
BBK,BBK
BBN,BBN
BBO,BBO
BCD,BCD
BCI,BCI
BCM,BCM
BCN,BCN
BCV,BCV
BDA,BDA
BDB,BDB
BDH,BDH
BDJ,BDJ
BDL,HFD
BDO,BDO
BDP,BDP
BDQ,BDQ
BDS,BDS
BDU,BDU
BEB,BEB
BEG,BEG
BEJ,BEJ
BEL,BEL
BEM,BEM
BEN,BEN
BES,BES
BET,BET
BEW,BEW
BEY,BEY
BFC,BFC
BFF,BFF
BFI,SEA
BFJ,BFJ
BFL,BFL
BFN,BFN
BFS,BFS
BFV,BFV
BGA,BGA
BGF,BGF
BGG,BGG
BGI,BGI
BGM,BGM
BGN,BGN
BGO,BGO
BGR,BGR
BGW,BGW
BGY,MIL
BHB,BHB
BHD,BFS
BHE,BHE
BHH,BHH
BHI,BHI
BHJ,BHJ
BHK,BHK
BHM,BHM
BHO,BHO
BHQ,BHQ
BHR,BHR
BHS,BHS
BHU,BHU
BHV,BHV
BHX,BHX
BHY,BHY
BIA,BIA
BIF,BIF
BIK,BIK
BIL,BIL
BIM,BIM
BIN,BIN
BIO,BIO
BIQ,BIQ
BIR,BIR
BIS,BIS
BJA,BJA
BJB,BJB
BJF,BJF
BJI,BJI
BJL,BJL
BJM,BJM
BJR,BJR
BJT,BJT
BJV,BJV
BJW,BJW
BJX,BJX
BJZ,BJZ
BKC,BKC
BKG,BKG
BKI,BKI
BKK,BKK
BKM,BKM
BKO,BKO
BKQ,BKQ
BKS,BKS
BKW,BKW
BKY,BKY
BKZ,BKZ
BLA,BLA
BLE,BLE
BLI,BLI
BLJ,BLJ
BLL,BLL
BLQ,BLQ
BLR,BLR
BLV,BLV
BLZ,BLZ
BMA,STO
BMB,BMB
BME,BME
BMG,BMG
BMI,BMI
BMO,BMO
BMU,BMU
BMV,BMV
BMW,BMW
BNA,BNA
BNC,BNC
BND,BND
BNE,BNE
BNI,BNI
BNK,BNK
BNN,BNN
BNS,BNS
BNX,BNX
BNY,BNY
BOB,BOB
BOC,BOC
BOD,BOD
BOG,BOG
BOH,BOH
BOI,BOI
BOJ,BOJ
BOM,BOM
BON,BON
BOO,BOO
BOS,BOS
BOY,BOY
BPE,BPE
BPL,BPL
BPM,BPM
BPN,BPN
BPS,BPS
BPT,BPT
BPX,BPX
BQA,BQA
BQB,BQB
BQJ,BQJ
BQK,SSI
BQN,BQN
BQS,BQS
BQT,BQT
BRA,BRA
BRC,BRC
BRD,BRD
BRE,BRE
BRI,BRI
BRL,BRL
BRM,BRM
BRN,BRN
BRO,BRO
BRQ,BRQ
BRR,BRR
BRS,BRS
BRU,BRU
BRW,BRW
BSA,BSA
BSB,BSB
BSC,BSC
BSD,BSD
BSG,BSG
BSK,BSK
BSL,BSL
BSO,BSO
BSR,BSR
BST,BST
BSX,BSX
BTC,BTC
BTH,BTH
BTI,BTI
BTJ,BTJ
BTK,BTK
BTM,BTM
BTR,BTR
BTS,BTS
BTT,BTT
BTU,BTU
BTV,BTV
BUA,BUA
BUD,BUD
BUF,BUF
BUL,BUL
BUN,BUN
BUQ,BUQ
BUR,BUR
BUS,BUS
BUW,BUW
BUX,BUX
BUZ,BUZ
BVA,BVA
BVB,BVB
BVC,BVC
BVE,BVE
BVG,BVG
BVH,BVH
BVV,BVV
BWA,BWA
BWE,BWE
BWI,WAS
BWK,BWK
BWN,BWN
BWT,BWT
BWX,BWX
BXB,BXB
BXR,BXR
BXU,BXU
BYC,BYC
BYK,BYK
BYO,BYO
BYP,BYP
BZE,BZE
BZG,BZG
BZN,BZN
BZO,BZO
BZR,BZR
BZV,BZV
CAB,CAB
CAC,CAC
CAE,CAE
CAG,CAG
CAH,CAH
CAI,CAI
CAK,CAK
CAL,CAL
CAN,CAN
CAP,CAP
CAW,CAW
CAY,CAY
CBB,CBB
CBH,CBH
CBO,CBO
CBQ,CBQ
CBR,CBR
CBT,CBT
CCC,CCC
CCF,CCF
CCJ,CCJ
CCK,CCK
CCM,CCM
CCN,CCN
CCP,CCP
CCS,CCS
CCU,CCU
CCV,CCV
CDB,CDB
CDC,CDC
CDG,PAR
CDR,CDR
CDV,CDV
CEB,CEB
CEC,CEC
CED,CED
CEE,CEE
CEG,CEG
CEI,CEI
CEK,CEK
CEN,CEN
CEZ,CEZ
CFB,CFB
CFC,CFC
CFE,CFE
CFG,CFG
CFK,CFK
CFN,CFN
CFR,CFR
CFS,CFS
CFU,CFU
CGA,CGA
CGB,CGB
CGD,CGD
CGH,SAO
CGK,JKT
CGM,CGM
CGN,CGN
CGO,CGO
CGP,CGP
CGQ,CGQ
CGR,CGR
CGY,CGY
CHA,CHA
CHC,CHC
CHG,CHG
CHO,CHO
CHQ,CHQ
CHS,CHS
CHT,CHT
CHX,CHX
CHY,CHY
CIA,ROM
CID,CID
CIF,CIF
CIH,CIH
CIJ,CIJ
CIT,CIT
CIU,SSM
CIX,CIX
CIY,CIY
CIZ,CIZ
CJA,CJA
CJB,CJB
CJC,CJC
CJF,CJF
CJJ,CJJ
CJL,CJL
CJM,CJM
CJS,CJS
CJU,CJU
CKB,CKB
CKG,CKG
CKH,CKH
CKS,CKS
CKY,CKY
CKZ,CKZ
CLD,CLD
CLE,CLE
CLJ,CLJ
CLL,CLL
CLO,CLO
CLQ,CLQ
CLT,CLT
CLV,CLV
CLY,CLY
CMB,CMB
CME,CME
CMF,CMF
CMG,CMG
CMH,CMH
CMI,CMI
CMN,CAS
CMU,CMU
